代碼,名稱,產業,市場,題材(L2),tech,supply
2233,宇隆,汽車工業,TWSE,"傳產其他, 機械零組件, 汽機車零組件, 減速機, 產業機械, 自行車零件, 金屬加工／製品",自行車,
2235,謚源,電機機械,TPEX,"汽機車零組件, 汽車內裝, 汽車空調, 車用冷卻系統",車用電子,
2236,百達-KY,汽車工業,TWSE,汽機車零組件,汽機車零件,
2239,英利-KY,汽車工業,TWSE,"汽機車零組件, 車用沖壓件, 車用金屬成型",車用電子,
2241,艾姆勒,汽車工業,TWSE,汽機車零組件,"EV, 散熱, 伺服器",
2243,宏旭-KY,汽車工業,TWSE,汽機車零組件,汽機車零件,
2247,汎德永業,汽車工業,TWSE,"汽車服務相關, 汽車銷售",EV,
2248,華勝-KY,汽車工業,TWSE,汽車內裝,"LED, 車用電子",
2249,湧盛,電機機械,ESB,電機機械,,
2250,IKKA-KY,汽車工業,TWSE,"家電, 家電零組件, 汽機車零組件",,NVIDIA供應鏈
2252,為昇科,其他電子業,ESB,其他電子業,,
2254,巨鎧精密-創,汽車工業,TWSE,"汽機車零組件, 車燈","EV, 車用電子, LED, PA功率放大器",
2255,凱銳光電,其他電子業,ESB,其他電子業,,
2256,歐特明,其他電子業,ESB,其他電子業,,
2258,鴻華先進-創,汽車工業,TWSE,"汽車製造, 車輛整車, 電動車",EV,
2301,光寶科,電腦及週邊設備業,TWSE,"LED, LED封裝, LED照明產品, PV INVERTER, 事務機器, 光碟機／燒錄機, 光纖被動元件, 光通訊, 太陽能, 機殼, 無線充電, 無線網路設備系統(WLAN), 網通設備, 車用鋰電池, 車用電子, 週邊產品, 鍵盤, 電子其他, 電子零件元件, 電池, 電源供應器, 電腦系統業","矽光子, 5G, AI伺服器, 伺服器, 電源供應器, 光通訊, 車用電子, 被動元件, LED, 光纖, 太陽能, 電池, 鋰電池",
2302,麗正,半導體業,TWSE,"二極體, 分離式元件, 電晶體","記憶體, 車用電子",
2303,聯電,半導體業,TWSE,"IC製造, 晶圓代工","CoWoS, 矽光子, 先進封裝, 光通訊, 記憶體, 晶圓代工",
2305,全友,電腦及週邊設備業,TWSE,"掃瞄器, 設備儀器商, 診斷與監測用醫材, 週邊產品, 醫學影像裝置, 量測儀器",醫材,
2308,台達電,電子零組件業,TWSE,"INTERNET技術與基礎設施, LED, LED照明產品, PV INVERTER, UPS, 充電樁, 其他電子零件, 太陽能, 投影機, 散熱模組, 散熱風扇馬達, 晶片電阻, 機器人, 無線充電, 系統整合, 網通設備, 被動元件, 變壓器, 車用充電相關, 車用鋰電池, 車用電子, 軟體業, 雲端科技, 電力設備, 電子零件元件, 電感, 電池, 電源供應器, 顯示器","先進封裝, 記憶體, 車用電子, 散熱, 被動元件, 電源供應器, LED, 太陽能, 電池, 鋰電池",
2312,金寶,其他電子業,TWSE,"POS機系統, 印表機, 家電, 工業電腦, 手機, 手機製造, 桌上型電腦, 消費性電子產品, 硬碟相關, 穿戴式裝置, 筆記型電腦製造, 網通設備, 視訊轉換相關, 車用電子, 週邊產品, 電子製造服務, 電腦系統業","AI伺服器, 伺服器, 低軌衛星, 散熱, 車用電子",NVIDIA供應鏈
2313,華通,電子零組件業,TWSE,"印刷電路板, 印刷電路板相關, 軟板","低軌衛星, 伺服器, PCB, HDI, FPC",Meta供應鏈
2314,台揚,通信網路業,TWSE,"低雜訊降頻器, 小型衛星地面站, 網通設備, 衛星通訊設備","光通訊, CPO, 低軌衛星, PCB",
2316,楠梓電,電子零組件業,TWSE,"印刷電路板, 印刷電路板相關, 電子製造服務, 電腦系統業","ABF載板, 伺服器, PCB, 封測",NVIDIA供應鏈
2317,鴻海,其他電子業,TWSE,"AI伺服器, ASIC伺服器, INTERNET技術與基礎設施, 伺服器, 印表機, 家電, 平板電腦, 手機, 手機製造, 桌上型電腦, 機器人, 消費性電子產品, 液晶電視, 穿戴式裝置, 筆記型電腦製造, 網通設備, 衛星通訊設備, 視訊轉換相關, 語音助理, 車用電子, 車輛整車, 連接器, 週邊產品, 遊戲機, 遊戲產業, 雲端科技, 電動車, 電子書閱讀器, 電子製造服務, 電子零件元件, 電腦系統業, 顯示器","AI伺服器, 伺服器, 光通訊, 電池, EV, 車用電子, 連接器",Apple供應鏈
2321,東訊,通信網路業,TWSE,"智慧電網相關, 消費性電子產品, 網通設備, 電力設備, 電話／傳真機","光通訊, CPO, 5G",
2323,中環,光電業,TWSE,"IC製造, 光碟片, 週邊產品, 非揮發性記憶體",記憶體,
2324,仁寶,電腦及週邊設備業,TWSE,"AI伺服器, 伺服器, 家電, 平板電腦, 手機, 手機製造, 智慧型手機, 消費性電子產品, 液晶電視, 穿戴式裝置, 筆記型電腦製造, 網通設備, 車用電子, 電子製造服務, 電腦系統業, 顯示器","AI伺服器, 伺服器, 車用電子",NVIDIA供應鏈
